Chain-Type Price Indexes for Gross Output by Industry
Chain-Type Price Indexes for Gross Output by Industry
"Last Revised on: April 9, 2026"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        All industries",79.444,80.112,81.254,82.405,82.837,83.665,84.424,84.508,85.341,86.241,86.861,87.875,88.949,90.640,91.821,89.338,87.598,87.546,88.048,88.897,89.775,90.168,90.446,91.349,92.606,93.904,94.258,94.171,94.798,94.882,95.187,95.874,96.429,96.512,96.939,97.272,98.123,98.512,98.616,98.322,97.332,97.629,97.498,97.021,96.630,97.320,97.882,98.523,99.427,99.817,100.076,100.679,101.235,102.088,103.332,105.107,103.820,104.302,104.413,104.568,104.728,103.781,105.060,106.200,108.184,110.852,113.125,115.342,118.278,121.513,122.300,122.364,122.540,122.343,123.206,123.531,124.378,125.223,125.877,126.792,127.930,128.553,129.739,130.778
2,Private industries,80.177,80.829,81.988,83.157,83.546,84.376,85.143,85.166,85.969,86.871,87.467,88.476,89.548,91.311,92.519,89.810,87.949,87.849,88.334,89.189,90.074,90.430,90.679,91.610,92.919,94.261,94.604,94.519,95.133,95.211,95.498,96.167,96.701,96.751,97.160,97.423,98.320,98.703,98.757,98.416,97.362,97.643,97.487,96.997,96.633,97.338,97.873,98.456,99.264,99.701,100.086,100.950,101.911,102.644,103.197,103.734,103.718,104.233,104.318,104.425,104.490,103.423,104.699,105.892,107.882,110.684,112.993,115.272,118.301,121.537,122.318,122.304,122.434,122.232,122.988,123.305,124.096,124.960,125.616,126.560,127.658,128.223,129.375,130.259
3,"    Agriculture, forestry, fishing, and hunting",74.904,75.249,75.674,74.739,75.468,72.786,76.325,78.991,83.902,86.210,88.974,93.907,94.602,99.633,101.670,93.368,86.194,85.455,82.537,87.743,88.963,88.731,91.844,98.618,107.786,110.513,112.847,110.558,112.208,113.239,116.295,119.827,125.350,120.753,119.475,114.962,118.335,123.526,119.302,118.145,110.312,109.325,108.347,104.521,99.475,98.999,96.727,94.695,99.553,100.083,99.639,100.725,101.060,100.713,99.154,99.932,99.145,99.249,100.182,100.531,99.601,92.281,95.870,101.532,105.718,117.980,122.811,122.938,136.090,146.507,148.959,149.886,143.077,138.168,136.754,133.199,131.792,130.900,133.215,137.471,142.266,137.934,138.644,137.063
4,"        Farms",75.169,75.449,75.271,73.938,74.101,71.887,75.888,79.614,86.021,88.853,86.028,95.066,97.732,101.712,102.755,94.589,86.748,86.093,83.425,87.984,89.006,88.930,92.345,99.960,109.335,113.785,116.251,113.756,114.820,115.781,120.514,124.158,127.879,124.966,123.551,118.802,122.041,126.631,122.350,121.062,111.497,110.933,110.104,105.775,100.417,98.703,95.815,94.543,99.547,100.161,99.626,100.667,101.210,100.869,98.588,99.351,98.408,98.729,99.796,100.760,99.055,91.202,95.260,101.103,106.101,119.433,124.495,124.213,139.816,150.933,153.258,154.315,146.726,140.994,139.326,135.291,133.537,132.900,135.628,140.363,145.671,140.687,141.488,139.619
5,"        Forestry, fishing, and related activities",75.269,73.567,75.522,77.040,76.282,76.849,79.337,79.288,83.286,83.088,82.140,82.034,80.574,83.214,89.681,84.359,81.805,81.057,78.275,83.394,85.593,87.515,90.441,88.674,97.830,92.215,88.925,86.083,89.489,92.894,93.213,94.451,93.186,96.152,96.544,96.750,97.386,99.184,98.359,98.716,100.619,99.349,96.611,95.422,92.178,100.604,104.093,96.140,98.602,99.779,100.404,101.216,101.649,101.109,102.335,102.065,102.047,102.748,102.559,102.494,102.509,101.810,101.974,103.438,105.603,107.219,110.001,112.240,113.873,115.226,116.571,117.311,118.030,117.986,118.365,118.317,117.646,116.622,117.402,118.101,119.456,119.785,119.582,119.179
6,"    Mining",96.657,101.691,114.904,128.647,117.337,118.047,117.972,112.541,113.916,121.257,123.771,134.948,146.693,172.286,167.765,119.302,99.172,98.528,103.093,114.294,126.906,120.700,121.650,125.178,133.019,140.129,136.224,133.368,131.156,123.474,123.724,126.083,128.685,131.009,133.356,128.949,136.152,135.474,130.059,117.500,96.376,99.048,91.816,85.213,75.761,85.131,90.327,95.221,100.048,98.862,97.506,103.585,107.758,108.142,110.747,110.175,102.566,101.075,95.451,96.348,86.723,69.112,81.549,89.794,103.964,113.940,123.925,141.299,152.573,178.811,169.839,144.771,130.286,115.906,120.086,121.769,119.247,121.343,118.382,117.872,127.209,115.689,115.634,114.611
7,"        Oil and gas extraction",127.938,136.907,163.249,190.262,164.199,161.929,160.870,146.818,149.171,163.246,167.798,192.959,216.322,269.299,256.614,148.632,108.011,110.693,120.215,141.250,164.474,150.021,150.052,154.479,168.385,181.343,172.033,166.973,161.117,145.629,146.399,150.445,156.960,162.041,167.242,158.702,172.835,171.170,160.008,135.011,94.288,101.019,88.607,77.964,62.705,77.522,85.926,94.392,101.298,98.080,94.897,105.725,113.544,114.012,118.998,117.049,102.780,99.808,90.491,92.229,77.077,51.271,69.034,81.350,102.594,116.211,130.831,156.384,170.109,206.249,192.457,154.613,131.029,110.443,118.378,118.174,114.644,116.007,112.529,111.030,123.828,107.399,106.082,103.053
8,"        Mining, except oil and gas",62.883,65.265,67.498,69.893,71.290,75.511,76.708,76.522,76.658,80.332,82.131,83.375,85.605,92.835,95.123,89.444,89.919,90.497,92.061,94.672,96.856,98.173,100.432,104.441,107.831,109.161,111.330,109.470,110.728,108.536,107.622,108.884,105.908,103.456,102.287,102.093,101.834,102.069,101.747,99.227,96.542,96.114,93.144,91.479,89.739,92.208,93.793,94.391,97.321,98.701,101.043,102.935,104.301,105.034,103.781,104.372,105.461,105.215,105.095,104.881,103.279,101.176,106.231,109.411,114.228,121.392,124.216,126.675,134.182,142.419,142.258,142.569,144.493,141.682,139.596,143.148,145.740,149.238,148.995,150.550,154.603,157.226,158.687,165.569
