Chain-Type Price Indexes for Value Added by Industry
Chain-Type Price Indexes for Value Added by Industry
"Last Revised on: April 9, 2026"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross domestic product",80.550,81.137,81.905,82.557,83.135,83.871,84.486,84.806,85.655,86.201,86.568,86.982,87.359,87.678,88.361,88.511,88.536,88.418,88.474,88.798,89.018,89.431,89.755,90.270,90.710,91.363,91.840,91.951,92.495,92.881,93.459,93.869,94.204,94.474,94.989,95.477,95.840,96.343,96.762,96.800,96.742,97.302,97.536,97.527,97.468,98.108,98.372,98.884,99.389,99.656,100.174,100.780,101.428,102.140,102.586,103.005,103.332,103.855,104.196,104.543,105.035,104.660,105.619,106.278,107.629,109.276,110.966,112.862,115.162,117.760,119.042,120.175,121.291,121.933,122.923,123.409,124.366,125.167,125.715,126.474,127.597,128.266,129.457,130.636
2,Private industries,81.925,82.465,83.226,83.922,84.422,85.143,85.704,85.913,86.692,87.270,87.679,88.004,88.289,88.748,89.417,89.423,89.270,89.003,89.058,89.339,89.575,89.890,90.132,90.670,91.197,91.837,92.387,92.496,93.007,93.381,93.915,94.355,94.694,94.843,95.274,95.684,96.121,96.648,96.953,96.954,96.770,97.330,97.567,97.521,97.418,98.133,98.416,98.910,99.416,99.658,100.148,100.778,101.423,102.116,102.444,102.737,103.126,103.742,104.023,104.337,104.638,103.862,104.876,105.571,107.027,108.826,110.597,112.688,115.173,118.031,119.340,120.398,121.417,121.963,122.859,123.315,124.206,124.936,125.442,126.189,127.278,127.767,128.921,129.858
3,"    Agriculture, forestry, fishing, and hunting",83.613,83.197,82.307,77.270,77.879,71.913,79.844,84.900,94.015,97.748,103.110,110.094,105.127,107.619,103.584,90.558,79.493,80.515,76.230,87.088,88.502,87.697,93.682,103.934,118.357,121.012,124.340,115.274,116.889,118.865,124.513,132.409,146.975,137.564,133.087,120.537,124.009,134.795,123.596,122.253,106.732,108.058,107.500,102.310,93.832,94.890,91.503,88.827,99.144,100.880,99.359,100.618,99.837,97.759,93.450,93.770,91.954,92.986,97.015,98.876,98.494,82.925,89.190,98.972,105.865,127.108,131.350,124.293,143.282,157.223,158.683,160.536,150.021,141.528,136.214,126.992,127.637,124.412,131.017,141.935,149.205,136.084,132.479,125.440
4,"        Farms",87.820,87.021,84.059,77.410,76.166,70.959,81.085,89.775,103.227,108.956,97.205,117.956,117.001,115.253,106.471,92.846,79.080,80.508,76.658,86.940,88.250,88.038,95.303,108.064,123.791,130.997,134.386,123.329,123.183,124.948,136.291,145.031,156.257,151.147,145.452,130.519,133.434,143.358,130.776,129.198,107.721,110.944,110.913,104.337,94.544,92.780,87.696,87.142,98.899,101.213,99.276,100.613,100.445,97.950,90.828,90.477,88.244,90.100,95.382,99.598,97.199,77.694,86.116,97.587,107.583,133.715,138.413,128.433,154.789,171.004,171.648,173.917,160.686,149.280,142.243,130.352,130.726,127.479,136.312,150.184,159.297,142.191,137.563,128.374
5,"        Forestry, fishing, and related activities",75.573,71.961,75.305,76.542,75.202,76.311,79.572,79.536,84.023,82.757,80.981,80.282,76.840,78.477,86.329,80.950,80.828,81.137,77.683,84.613,85.860,87.491,91.402,87.412,99.868,89.846,84.604,80.564,85.385,90.114,90.090,91.508,89.221,93.571,94.745,95.367,95.712,97.820,96.706,97.349,100.868,98.974,95.511,94.546,90.504,101.890,106.647,95.625,98.584,99.814,100.533,101.069,100.996,100.096,101.394,100.877,101.157,102.116,102.139,102.223,102.280,101.355,101.322,102.357,104.159,105.081,107.503,109.622,110.338,110.865,112.549,113.780,115.192,115.711,116.450,116.316,115.614,114.505,115.255,115.906,117.241,117.478,117.047,116.738
6,"    Mining",115.962,124.228,147.261,170.641,148.954,149.799,148.467,138.661,140.223,152.311,156.641,174.533,193.033,238.597,227.842,145.770,115.398,115.024,121.923,139.179,158.960,149.197,150.512,156.879,169.126,181.011,172.276,168.798,165.576,151.590,150.696,153.141,156.921,161.319,166.746,157.266,167.235,167.271,157.772,133.100,96.390,102.146,89.330,79.006,64.842,78.953,86.201,93.848,100.758,98.230,95.833,105.179,111.476,112.397,116.400,112.403,99.690,97.787,88.561,90.360,74.649,48.760,65.455,76.317,95.507,111.254,123.655,150.148,170.211,215.519,194.808,152.005,128.644,107.860,114.016,116.298,112.303,115.388,110.241,107.855,119.823,102.854,102.613,98.909
7,"        Oil and gas extraction",171.927,187.514,235.690,283.690,232.854,229.141,225.548,200.072,203.487,227.026,236.030,278.672,317.844,417.781,386.014,195.956,135.781,139.248,153.256,187.770,228.792,204.971,204.603,214.796,240.117,266.262,243.058,236.329,226.995,197.142,195.964,200.875,212.263,222.066,235.185,215.761,238.819,237.310,214.166,161.762,94.056,105.091,84.573,69.743,50.711,69.816,80.547,92.617,101.964,96.958,92.384,108.694,121.202,122.925,131.808,123.938,99.604,96.035,81.310,83.515,60.157,24.661,47.695,64.019,94.680,119.662,141.497,187.736,217.959,294.105,255.231,177.717,133.902,101.660,114.138,113.141,108.156,110.779,104.856,100.550,118.491,93.292,91.450,84.235
8,"        Mining, except oil and gas",58.616,61.930,64.039,66.209,68.207,74.324,75.837,76.047,75.343,80.516,82.580,82.419,83.989,93.886,96.430,92.647,96.419,97.521,99.049,101.527,103.832,105.730,109.215,114.072,117.547,117.637,120.705,117.710,119.264,115.612,113.782,114.582,108.591,105.243,103.352,102.774,100.742,101.664,101.749,98.136,95.156,94.987,90.136,88.374,85.978,89.272,90.879,91.838,96.261,98.087,101.816,103.835,104.489,105.325,102.162,102.121,104.695,103.785,103.491,103.273,100.453,98.211,104.242,108.636,114.239,123.886,126.472,128.277,137.747,147.728,147.413,149.786,153.730,150.522,145.847,152.203,155.760,159.966,158.835,160.338,165.262,167.733,168.613,178.137
