io_code;FPA
1111A0;0.8417875
1111B0;0.7363412
111200;0.3647712
111910;0.7701864
111920;0.7470589
1119B0;0.4994085
112120;0.9647059
1121A0;0.8500707
112300;0.7906435
112A00;0.6157763
113300;0.1656691
114100;0.447682
211000;0.8744103
212100;0.197599
212210;0.1233471
212230;0.6583157
2122A0;0.642036
212310;0.1549375
212320;0.0813103
212390;0.1325742
213111;0.1791612
213112;0.0996948
21311A;0.097862
221100;0.3054604
221200;0.4805099
311111;0.0840335
311119;0.5318494
311210;0.4056026
311221;0.4028604
311225;0.468333
31122A;0.4433843
311230;0.0475687
311313;0.3498749
31131A;0.4114042
311320;0.1485569
311330;0.0370238
311340;0.0867929
311410;0.194493
311420;0.1222254
311513;0.4680119
311514;0.3122777
31151A;0.537962
311520;0.1551005
311615;0.4883282
31161A;0.4492074
311700;0.2270367
311810;0.0679173
311820;0.0639404
311830;0.0851059
311910;0.0802704
311920;0.0967541
311930;0.0381497
311940;0.0980242
311990;0.1871327
312110;0.2688204
312120;0.0701903
312130;0.067396
312140;0.0648161
3122A0;0.1044099
313100;0.1172451
313210;0.1755966
313220;0.0484923
313230;0.1020017
313240;0.0486805
313310;0.1270728
313320;0.0540325
314110;0.3072709
314120;0.0668426
314910;0.0558909
314990;0.0741518
315100;0.0751791
315210;0.0408968
315220;0.0711326
315230;0.0445914
315290;0.0461522
315900;0.0436964
316100;0.1897746
316200;0.0527269
316900;0.0396508
321100;0.4052497
321219;0.3553683
32121A;0.3118502
32121B;0.2728897
321910;0.1533349
321920;0.0765614
321991;0.2264831
321992;0.1391437
321999;0.0446143
322110;0.4674312
322120;0.2897424
322130;0.2505629
322210;0.1015777
32222A;0.0810663
32222B;0.1088566
322230;0.0990105
322291;0.1487506
322299;0.1032058
323110;0.0705168
323120;0.0610492
324110;0.7494565
324121;0.1253827
324122;0.2119752
324191;0.1912623
324199;0.087075
325110;0.5852776
325120;0.2690049
325130;0.2424119
325181;0.3233899
325182;0.2186277
325188;0.1832844
325190;0.2156729
325211;0.3345183
325212;0.1884105
325220;0.219589
325310;0.2494847
325320;0.0776121
325411;0.1111282
325412;0.1037995
325413;0.0725325
325414;0.0959163
325510;0.1076135
325520;0.1347996
325610;0.0823547
325620;0.0492009
325910;0.0628559
3259A0;0.1194991
326110;0.18388
326121;0.0827365
326122;0.3331081
326130;0.0859648
326140;0.2442275
326150;0.1847278
326160;0.2630259
32619A;0.0801889
326210;0.171532
326220;0.0819826
326290;0.0647703
32711A;0.0791083
32712A;0.1260914
32712B;0.1097537
327211;0.2370763
327212;0.1119849
327213;0.1099944
327215;0.1047404
327310;0.2246407
327320;0.1039391
327330;0.0999869
327390;0.0862515
3274A0;0.24172
327910;0.0599624
327991;0.0612042
327992;0.0825959
327993;0.2504105
327999;0.0479317
331110;0.3776084
331200;0.2740932
331314;0.4021543
33131A;0.8964009
33131B;0.342948
331411;0.8959135
331419;0.2657151
331420;0.3862259
331490;0.3261842
331510;0.1709826
331520;0.1430771
332114;0.12175
33211A;0.0586105
33211B;0.0477191
33221A;0.0384085
33221B;0.0549103
332310;0.1146447
332320;0.087945
332410;0.0860778
332420;0.0946007
332430;0.1195674
332500;0.0821765
332600;0.0686334
332710;0.0433555
332720;0.0439901
332800;0.0274205
332913;0.080722
33291A;0.0733561
332991;0.066921
332996;0.1154307
33299A;0.0776077
33299B;0.0628264
33299C;0.0722994
333111;0.091524
333112;0.092088
333120;0.0756168
333130;0.0740217
333220;0.0354399
333295;0.0334312
33329A;0.0604931
333314;0.0470581
333315;0.0635718
333319;0.0566936
33331A;0.0626871
333414;0.0804578
333415;0.1277717
33341A;0.0898171
333511;0.1016394
333514;0.0575777
333515;0.0413824
33351A;0.0558584
33351B;0.0634794
333611;0.1201196
333612;0.0565999
333613;0.0773863
333618;0.0534675
333911;0.0718591
333912;0.0654067
333920;0.0645225
333991;0.1482118
333993;0.0398508
333994;0.0560378
33399A;0.0610812
33399B;0.0460633
334111;0.2078344
334112;0.128857
33411A;0.0715722
334210;0.1632737
334220;0.0522582
334290;0.0431895
334300;0.090063
334411;0.0991602
334412;0.0665107
334413;0.1093945
334417;0.0547641
334418;0.1473685
334419;0.0462836
33441A;0.0629746
334510;0.0799143
334511;0.0902418
334512;0.1197315
334513;0.081291
334514;0.0743392
334515;0.0469391
334516;0.0471999
334517;0.0689852
33451A;0.0429767
334613;0.1476301
33461A;0.073613
335110;0.2869008
335120;0.0900984
335210;0.0661574
335221;0.1046513
335222;0.1393907
335224;0.2316007
335228;0.2020045
335311;0.1303066
335312;0.0609405
335313;0.1355136
335314;0.0598486
335911;0.131274
335912;0.1005429
335920;0.287064
335930;0.1353241
335991;0.1047028
335999;0.0532189
336111;0.7613219
336120;0.2015709
336211;0.0657523
336212;0.1103747
336213;0.1299312
336214;0.0734016
336300;0.086467
336411;0.1814889
336412;0.095292
336413;0.0503945
336500;0.1337369
336611;0.0784206
336612;0.1138465
336991;0.0556947
336999;0.065038
337110;0.0750996
337121;0.0822897
337122;0.0731115
337127;0.0781241
33712A;0.0540321
337212;0.0942304
337215;0.0389937
33721A;0.0474687
337910;0.0768086
337920;0.0676188
339111;0.05482
339112;0.1571109
339113;0.1371873
339114;0.1113126
339115;0.0657669
339910;0.0965397
339920;0.0879466
339930;0.0491912
339940;0.0691405
339950;0.0734388
339991;0.0367998
339992;0.0471252
339994;0.0395156
33999A;0.0621732
420000;0.2901311
481000;0.2582921
482000;0.3610589
483000;0.2101347
484000;0.2004005
486000;0.1106607
48A000;0.0890433
492000;0.133017
493000;0.0318882
4A0000;0.1747102
511110;0.0545832
511120;0.0567197
511130;0.0712776
5111A0;0.0663155
511200;0.068726
515100;0.26807
517000;0.0806622
518100;0.1297768
518200;0.0587997
523000;0.1912828
524100;0.0729985
524200;0.0349603
52A000;0.504725
531000;0.1883153
532100;0.1817033
532400;0.0634889
541100;0.0792963
541200;0.0505258
541300;0.0602282
541610;0.0679972
541800;0.0479472
561300;0.099326
561500;0.085372
561600;0.0972607
561700;0.080891
562000;0.0526806
621600;0.0702767
621A00;0.0492489
622000;0.0598605
623000;0.1065276
713940;0.0827818
7211A0;0.1474277
