Real Gross Output by Industry
Real Gross Output by Industry
"Last Revised on: April 9, 2026"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        All industries",28749.8,29010.8,29223.4,29435.7,29696.1,29682.4,29668.8,29846.3,30036.3,30297.9,30380.4,30562.5,30390.4,30433.1,29938.6,29099.6,28380.7,28205.2,28326.9,28509.5,28785.2,29173.2,29486.9,29675.7,29778.7,29828.5,29947.7,30145.7,30562.3,30584.8,30700.4,30995.2,31042.0,31327.7,31466.5,31752.9,31845.4,32203.8,32495.2,32715.6,32829.1,33064.7,33241.4,33283.0,33442.4,33618.9,33808.0,33974.6,34155.2,34244.5,34470.1,35002.8,35360.5,35631.9,35613.7,35240.6,35775.3,36028.2,36296.1,36355.7,35883.4,32918.3,35204.3,35936.1,36714.4,37245.9,37542.7,38067.1,38182.3,38398.0,38627.0,38734.7,39117.5,39342.0,39651.3,39865.7,40056.2,40278.8,40575.8,40712.4,40770.7,40890.4,41212.1,41164.0
2,Private industries,25279.8,25540.4,25736.6,25942.6,26167.7,26159.5,26142.1,26299.3,26483.8,26725.7,26794.7,26956.3,26776.1,26805.2,26288.6,25429.4,24665.8,24448.3,24563.3,24729.9,25009.8,25392.5,25725.9,25931.5,26065.6,26127.8,26275.4,26486.5,26906.4,26935.3,27039.2,27350.7,27421.8,27706.9,27861.0,28163.8,28249.0,28618.0,28888.0,29106.3,29188.9,29408.6,29566.7,29580.5,29710.2,29871.5,30056.2,30254.0,30474.7,30547.8,30721.4,31138.3,31336.3,31626.5,31812.7,31838.8,31912.7,32112.7,32346.7,32372.6,31904.7,28950.1,31235.9,31958.7,32656.0,33195.8,33508.8,34020.0,34147.5,34353.0,34561.5,34653.0,35024.0,35231.3,35505.1,35695.3,35857.2,36050.1,36311.4,36413.7,36481.4,36609.5,36909.6,36914.9
3,"    Agriculture, forestry, fishing, and hunting",399.1,398.2,397.4,403.2,394.6,411.0,398.6,398.4,405.0,398.5,391.6,388.3,394.9,381.1,371.1,384.4,391.3,390.3,405.9,398.6,395.6,404.2,401.2,392.2,394.0,381.7,384.7,395.4,397.2,397.1,386.5,382.7,389.9,407.5,413.0,412.5,413.4,415.8,415.8,419.3,419.6,416.8,425.4,432.2,441.7,439.5,440.1,447.1,451.3,449.6,448.0,446.8,447.1,452.1,444.4,445.0,435.5,437.9,439.8,447.0,458.0,442.6,461.3,466.2,463.2,459.3,454.8,453.0,441.9,440.8,442.2,442.4,463.0,462.9,462.4,463.8,477.4,478.4,473.0,472.7,458.3,458.4,464.8,468.8
4,"        Farms",338.0,336.7,336.4,341.9,331.1,348.9,339.7,340.3,350.2,345.2,339.4,335.2,340.7,327.8,320.8,332.8,339.4,339.7,353.9,350.5,344.2,352.0,350.6,340.0,344.0,328.9,329.8,340.2,344.5,345.8,336.9,333.4,339.5,356.3,359.7,358.3,356.2,359.9,359.4,362.4,364.0,362.3,368.6,376.8,384.9,389.0,392.8,393.6,398.0,396.0,394.9,393.2,392.5,396.6,395.1,396.0,386.2,388.7,390.4,395.9,404.5,393.9,409.6,409.7,408.1,402.3,397.2,396.3,386.8,385.2,384.5,385.7,406.2,405.8,404.3,405.4,417.6,419.3,416.4,415.3,402.0,401.8,408.6,412.8
5,"        Forestry, fishing, and related activities",61.9,62.2,61.6,61.9,64.1,62.9,59.7,58.7,55.3,53.8,52.8,53.8,55.0,54.2,50.8,52.0,52.3,50.8,52.2,48.2,51.6,52.4,50.8,52.6,50.0,53.5,56.0,56.0,52.9,51.2,49.5,49.2,50.2,50.5,53.2,54.4,58.1,56.5,57.0,57.6,56.0,54.8,57.2,55.4,56.8,50.5,47.5,53.3,53.2,53.6,53.2,53.6,54.5,55.4,49.4,49.1,49.4,49.2,49.4,51.1,52.0,49.3,52.8,56.1,56.6,56.9,57.3,56.0,57.1,55.7,57.3,56.5,57.0,56.8,58.0,58.4,58.8,58.8,56.8,57.6,56.8,57.3,56.6,55.7
6,"    Mining",354.5,362.9,352.2,358.6,379.6,378.9,384.7,385.6,383.1,391.0,382.6,386.4,393.2,408.0,406.6,414.7,416.1,386.8,380.2,377.6,389.1,400.4,412.0,416.8,417.8,436.2,448.1,472.0,486.1,486.6,485.0,488.0,488.5,502.7,514.2,503.2,529.1,565.7,573.8,573.8,558.2,522.1,507.4,480.4,438.5,418.4,419.2,422.2,453.3,452.3,461.6,484.0,506.9,530.3,554.2,553.4,548.7,561.5,580.9,565.5,561.9,426.3,436.0,454.1,476.1,514.6,512.6,528.4,522.8,541.0,570.5,571.6,583.4,590.5,599.9,601.4,593.3,590.8,596.9,589.3,594.3,593.4,599.6,593.9
7,"        Oil and gas extraction",165.2,165.7,155.8,158.2,162.8,159.1,163.7,164.3,164.1,167.3,161.7,165.1,169.2,176.5,173.1,178.7,190.0,188.1,190.4,189.8,192.5,192.7,199.4,203.0,203.8,213.8,218.4,230.3,236.2,235.2,241.2,248.6,248.5,255.9,262.0,257.5,267.5,283.1,285.1,280.3,273.3,268.1,266.8,259.6,254.4,251.6,246.7,244.6,251.6,243.8,253.3,267.3,278.3,294.2,309.5,314.4,314.8,321.4,335.8,340.2,338.3,282.9,291.9,298.7,305.8,338.0,335.8,348.3,340.2,355.5,374.6,375.7,378.3,386.6,399.6,400.8,396.4,402.0,403.7,404.2,405.7,412.4,419.2,415.3
8,"        Mining, except oil and gas",125.7,128.4,126.9,126.9,135.3,136.2,133.5,132.8,128.4,131.6,129.4,129.0,130.9,129.0,128.6,123.5,121.1,114.3,112.9,109.0,109.6,113.8,113.4,114.1,116.1,120.4,120.7,121.1,120.7,116.9,110.6,109.4,108.0,110.3,113.4,110.7,114.4,117.0,116.5,111.0,114.2,110.3,112.0,106.5,102.6,101.1,102.7,103.6,105.5,101.6,99.5,100.8,102.4,102.5,102.3,102.5,99.9,103.7,101.5,98.4,96.8,86.8,92.0,92.7,98.4,95.8,95.4,95.6,97.3,97.9,100.4,97.9,101.2,98.5,99.1,98.5,96.7,92.2,94.8,92.6,94.7,94.8,97.9,94.9
