Real Value Added by Industry
Real Value Added by Industry
"Last Revised on: January 22, 2026"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
1,"        Gross domestic product",15844.7,15922.8,16047.6,16136.7,16353.8,16396.2,16420.7,16561.9,16611.7,16713.3,16809.6,16915.2,16843.0,16943.3,16854.3,16485.4,16298.3,16269.1,16326.3,16502.8,16582.7,16743.2,16872.3,16960.9,16920.6,17035.1,17031.3,17222.6,17367.0,17444.5,17469.7,17489.9,17662.4,17709.7,17860.5,18016.1,17954.0,18185.9,18406.9,18500.0,18666.6,18782.2,18857.4,18892.2,19001.7,19062.7,19197.9,19304.4,19398.3,19506.9,19660.8,19882.4,20044.1,20150.5,20276.2,20304.9,20431.6,20602.3,20843.3,20985.4,20709.2,19078.0,20558.9,20791.9,21082.1,21440.9,21617.8,21988.7,21932.7,21967.0,22125.6,22278.3,22439.6,22580.5,22841.0,23033.8,23082.1,23286.5,23478.6,23586.5,23548.2,23771.0,24026.8
2,Private industries,13529.2,13608.6,13725.6,13804.6,14024.2,14063.3,14078.8,14214.1,14258.1,14355.0,14444.8,14535.9,14448.8,14530.0,14430.1,14079.6,13900.8,13864.2,13918.8,14083.2,14152.2,14315.8,14453.1,14545.1,14497.3,14608.6,14617.0,14817.0,14965.4,15051.1,15074.2,15093.1,15261.6,15308.6,15467.6,15631.4,15550.7,15783.5,16009.5,16099.6,16266.6,16378.2,16449.5,16482.0,16582.5,16638.8,16759.1,16862.2,16953.3,17056.6,17204.1,17411.1,17557.9,17658.2,17789.1,17841.5,17957.9,18111.8,18339.2,18456.2,18182.8,16649.1,18112.4,18335.4,18622.1,18970.3,19126.7,19494.6,19426.7,19453.2,19604.7,19762.4,19921.7,20058.6,20308.7,20479.3,20513.1,20708.7,20881.7,20973.4,20931.4,21173.6,21432.0
3,"    Agriculture, forestry, fishing, and hunting",157.5,158.8,158.1,163.9,156.5,173.4,161.2,155.6,154.8,145.5,139.0,138.6,149.4,142.0,135.5,149.3,156.1,154.0,168.3,161.5,152.8,160.0,158.8,152.2,155.6,144.6,145.7,155.1,153.9,149.8,141.4,137.7,147.9,163.5,166.6,163.7,158.3,159.7,158.7,159.3,166.4,167.6,173.5,178.9,182.1,181.3,183.1,179.6,183.0,178.6,172.4,173.4,179.6,187.7,184.4,184.7,174.0,173.0,170.7,172.2,180.5,160.8,182.2,188.2,188.1,186.4,187.2,193.8,189.5,188.6,189.6,191.5,201.6,195.8,191.9,190.8,201.3,209.9,205.0,205.7,196.4,196.0,200.7
4,"        Farms",126.6,126.4,126.7,132.0,121.2,136.6,123.7,118.7,120.4,111.5,104.9,104.5,114.0,107.3,103.4,115.7,122.7,121.4,133.8,129.3,120.5,126.9,126.8,119.1,125.9,113.4,112.6,120.0,119.1,116.3,108.7,105.4,114.4,129.6,132.5,129.5,124.2,125.7,123.9,124.1,131.6,132.1,135.1,140.5,140.3,145.3,149.5,140.4,144.7,140.9,134.5,134.8,139.6,147.1,144.6,145.3,133.7,132.2,129.4,130.2,135.4,121.1,139.2,142.0,146.4,144.2,144.4,149.7,148.2,146.7,146.3,147.7,157.2,150.8,146.8,144.5,153.2,161.9,159.1,159.8,151.5,152.0,157.6
5,"        Forestry, fishing, and related activities",31.1,32.7,31.6,32.2,35.8,37.5,38.1,37.2,34.0,34.8,34.9,34.9,35.9,35.6,32.5,33.8,33.4,32.6,34.4,32.0,32.2,33.0,31.8,33.4,28.6,31.3,33.9,35.9,35.6,34.1,34.1,33.8,34.4,33.1,33.3,33.9,34.1,33.8,35.0,35.4,34.9,35.5,38.6,38.3,41.6,36.2,34.3,38.9,38.2,37.8,37.9,38.5,39.6,40.2,39.8,40.2,40.1,40.5,40.9,41.6,43.1,39.7,44.0,45.7,43.1,41.5,41.8,42.5,42.1,40.9,42.0,43.0,43.8,44.8,45.2,46.5,47.2,47.6,46.0,46.0,45.4,44.4,42.9
6,"    Mining",168.2,167.8,156.9,153.3,179.4,181.7,186.4,198.5,202.0,207.4,203.5,192.9,182.2,175.2,185.2,237.3,248.4,226.9,216.8,204.4,193.1,198.9,199.9,204.4,198.5,200.5,208.4,220.8,224.1,234.4,233.1,237.3,236.7,238.3,241.7,250.3,245.8,259.1,273.2,291.5,304.0,274.3,281.8,283.6,297.8,257.5,246.8,244.3,248.6,265.2,277.9,277.4,270.1,279.9,276.5,281.5,303.4,312.0,322.8,311.6,325.0,302.9,300.3,295.6,295.2,280.7,276.8,266.2,245.2,236.6,252.9,285.2,311.8,356.7,371.0,372.0,361.5,362.5,365.9,361.0,343.2,365.7,369.6
7,"        Oil and gas extraction",76.4,75.4,67.1,64.8,77.0,77.9,80.0,87.3,89.5,91.2,86.9,81.0,74.0,69.7,75.2,111.2,125.0,116.8,108.3,98.0,88.0,89.0,87.9,89.8,85.1,84.4,89.4,96.6,101.9,110.4,111.4,114.6,112.5,113.0,112.2,117.4,112.0,118.0,128.0,146.9,174.6,155.8,172.3,183.8,214.8,178.4,164.2,156.7,153.6,159.6,168.9,162.3,149.7,152.0,149.8,154.1,175.1,184.1,204.7,203.1,219.1,218.3,209.1,200.1,189.0,166.9,159.5,147.0,131.2,126.3,136.9,162.7,184.1,226.8,240.1,247.5,235.8,240.3,240.1,236.3,216.8,241.7,248.5
8,"        Mining, except oil and gas",67.9,67.9,68.8,68.8,72.2,69.3,68.9,71.1,71.9,74.0,74.5,68.8,69.0,65.1,66.0,67.3,66.3,59.3,61.9,62.0,62.0,64.8,64.9,65.8,64.6,66.4,64.0,64.2,59.5,58.2,56.6,57.0,57.7,56.5,60.4,59.3,57.7,57.9,56.6,54.5,53.8,51.3,51.6,51.0,49.9,48.8,49.7,50.8,51.7,53.8,51.7,51.9,51.3,50.9,50.1,50.6,49.0,51.0,51.8,52.8,55.3,54.7,56.0,56.9,57.8,54.8,53.9,54.9,53.7,51.3,51.3,50.8,52.6,52.5,54.0,52.8,51.6,50.0,51.1,50.8,50.3,51.4,52.3
9,"        Support activities for mining",31.1,32.7,35.4,35.4,44.4,48.6,51.8,52.0,51.8,54.4,57.8,60.2,60.4,64.6,64.8,61.0,53.6,46.2,43.5,44.3,47.7,51.5,55.2,57.4,60.2,64.0,68.2,72.0,70.6,70.4,68.1,67.8,70.7,73.1,76.1,78.8,84.7,92.3,94.0,88.7,72.6,64.9,56.3,49.0,40.7,33.7,34.3,37.2,43.2,51.7,57.4,63.5,71.3,80.2,79.5,79.0,80.4,77.5,67.8,57.7,55.8,44.0,44.1,43.3,47.8,59.2,64.3,70.0,73.4,74.5,81.0,83.8,85.1,89.2,88.1,81.8,85.3,84.0,86.9,85.8,88.1,84.6,79.7
10,"    Utilities",237.7,237.9,242.3,241.3,241.0,258.9,261.6,255.8,254.2,264.4,259.3,264.3,268.7,292.7,292.7,251.2,245.8,250.1,258.2,273.9,291.3,286.7,291.1,294.0,285.4,304.4,299.6,318.1,301.3,310.0,309.5,304.2,311.9,305.6,302.3,296.3,282.6,289.5,300.3,298.5,284.2,297.7,302.9,302.9,309.5,313.0,317.4,314.4,307.9,314.4,312.8,319.7,312.6,314.4,305.2,304.9,298.4,309.6,310.8,331.3,326.4,331.0,340.7,327.4,315.2,318.6,327.7,332.8,333.4,329.8,320.1,325.5,331.0,367.0,336.4,348.6,348.3,353.8,352.3,359.3,354.8,340.6,353.5
11,"    Construction",945.7,936.6,930.6,923.2,939.7,922.6,906.5,883.4,890.0,903.6,894.3,864.9,823.2,815.3,806.3,761.7,697.8,685.3,694.9,668.7,651.8,663.5,658.2,653.6,640.1,651.2,652.4,652.1,668.5,666.8,665.2,680.3,689.7,691.9,704.8,703.9,707.2,719.9,721.9,735.9,746.1,763.3,770.8,777.4,796.5,795.9,805.3,819.8,836.1,833.2,837.2,854.4,864.9,859.9,865.3,864.9,877.3,881.5,887.6,882.7,870.1,826.2,873.4,884.1,894.7,902.1,883.7,859.8,872.6,837.2,806.0,806.3,810.8,819.0,842.3,852.2,863.2,870.0,872.5,880.5,882.3,890.9,889.1
12,"    Manufacturing",1858.1,1858.4,1878.3,1915.9,1974.6,1970.1,1970.6,2016.3,2010.2,2049.0,2082.4,2120.3,2045.3,2089.3,2037.5,1912.5,1808.2,1811.7,1838.3,1909.3,1931.2,1939.0,1963.3,1969.4,1958.0,1973.3,1955.4,1971.0,1989.9,1981.5,1949.2,1937.8,2010.9,2019.7,2043.3,2046.8,2011.8,2052.1,2069.3,2063.7,2078.3,2067.3,2068.6,2045.0,2049.9,2045.8,2058.8,2042.7,2062.3,2099.5,2111.6,2165.5,2189.1,2201.8,2216.3,2244.9,2207.1,2221.2,2240.0,2231.0,2174.4,1961.8,2190.8,2234.8,2264.7,2293.3,2288.3,2352.9,2305.7,2274.2,2268.2,2274.6,2224.4,2263.3,2323.8,2356.6,2314.1,2368.9,2389.0,2373.4,2337.7,2405.0,2434.6
13,"        Durable goods",887.9,891.0,909.2,940.8,968.6,972.2,971.5,989.4,992.4,1018.0,1048.0,1051.1,1040.8,1054.0,1047.3,977.2,884.5,859.7,865.4,899.2,928.1,977.4,1015.3,1040.0,1044.9,1055.4,1060.9,1083.5,1090.9,1096.9,1090.5,1096.6,1119.0,1113.1,1123.0,1126.2,1107.6,1123.7,1146.8,1142.6,1144.5,1139.9,1142.0,1133.1,1135.1,1128.4,1138.3,1139.8,1152.3,1166.1,1183.3,1211.3,1221.2,1221.3,1226.2,1241.8,1240.7,1244.1,1243.1,1239.8,1211.6,1054.8,1207.6,1233.0,1258.3,1267.7,1248.8,1279.0,1274.1,1272.9,1258.9,1257.6,1243.3,1262.5,1270.0,1281.6,1241.8,1259.2,1274.9,1265.5,1259.0,1286.0,1318.3
14,"            Wood products",32.7,33.0,33.4,33.7,33.0,31.6,32.9,33.3,34.3,34.8,34.8,34.8,34.5,32.9,32.2,30.2,27.0,27.8,27.4,27.8,28.5,27.9,30.4,31.5,31.4,32.9,33.7,33.2,33.5,33.3,33.3,33.9,33.8,33.6,35.0,34.5,31.6,31.3,30.3,30.4,32.0,32.9,34.8,34.6,35.3,34.8,34.9,35.7,36.6,35.8,35.1,35.2,35.0,32.7,33.3,34.6,34.3,34.3,35.5,36.4,37.5,34.4,38.9,37.8,38.3,34.3,34.0,33.6,31.0,31.4,34.7,36.7,36.9,36.4,39.0,41.5,37.6,36.2,38.7,40.5,37.9,38.7,40.5
15,"            Nonmetallic mineral products",65.8,65.3,65.2,66.0,64.5,61.5,59.6,59.9,57.9,60.4,65.5,62.7,58.8,59.8,59.9,54.0,47.4,45.7,46.7,46.9,47.4,48.5,48.7,48.0,48.8,50.1,50.8,52.2,52.4,53.3,53.6,54.1,55.9,56.0,57.1,56.8,55.8,56.6,56.8,56.9,56.7,55.7,57.0,56.5,55.5,55.2,55.1,55.5,57.2,58.3,58.7,59.7,57.8,57.9,58.3,59.1,59.9,60.6,61.5,60.5,58.4,56.3,60.1,61.6,61.9,61.1,60.0,62.2,60.1,61.3,57.8,56.0,53.4,51.8,51.8,51.3,49.0,49.5,49.9,50.1,48.6,48.7,49.2
16,"            Primary metals",41.4,43.0,46.9,46.0,44.6,41.9,37.2,37.2,39.8,35.5,38.8,45.4,48.2,40.8,37.5,40.2,41.3,41.9,38.8,38.4,38.6,37.6,43.3,43.7,41.2,43.0,45.9,51.2,49.5,51.2,54.7,58.5,56.9,58.1,58.4,58.0,56.5,58.0,57.3,55.8,58.7,62.1,63.4,66.5,69.6,67.0,64.5,64.8,61.0,59.0,58.1,61.0,63.3,60.2,57.4,59.0,60.9,63.7,70.5,72.7,77.6,66.9,77.1,76.8,73.4,68.5,64.7,56.4,64.9,67.0,72.0,81.2,87.1,80.3,86.6,92.1,82.0,89.6,97.0,101.8,105.7,90.9,98.9
17,"            Fabricated metal products",158.1,155.3,153.1,157.2,159.5,160.8,162.1,163.3,164.3,171.6,170.5,166.3,161.3,168.2,166.3,145.4,121.8,116.0,120.6,126.0,127.1,135.6,135.4,137.6,140.9,143.2,142.5,142.3,149.2,147.6,146.2,146.4,147.4,145.4,145.7,147.3,145.5,146.9,150.2,150.3,147.1,143.0,140.4,136.5,135.4,135.5,137.7,138.3,141.0,144.0,146.0,148.1,149.6,150.8,151.1,151.5,150.5,149.8,149.4,147.3,145.1,123.6,133.5,138.2,143.4,135.9,136.1,143.6,136.7,134.4,129.9,127.9,125.9,121.1,121.8,123.3,118.4,117.8,116.9,118.9,115.3,115.7,120.3
18,"            Machinery",146.0,142.2,143.8,147.0,150.1,153.5,155.5,157.4,155.5,162.9,165.5,161.6,161.8,169.0,171.5,157.3,137.5,127.7,126.8,133.4,136.2,148.4,152.5,157.5,165.5,170.5,171.6,175.1,177.3,175.4,171.3,168.1,172.1,170.3,170.7,172.8,166.4,170.3,171.5,165.4,159.9,150.9,146.9,141.1,137.4,135.8,136.6,136.0,141.0,145.9,150.9,152.7,157.0,156.0,156.5,156.0,157.1,155.8,153.7,150.3,144.6,128.6,137.5,144.1,153.3,158.5,154.2,163.0,157.6,151.4,148.1,148.1,145.3,144.8,146.4,149.8,146.4,148.1,147.2,140.3,138.8,140.9,141.3
19,"            Computer and electronic products",102.3,104.1,109.5,114.5,126.6,126.5,128.7,133.2,136.1,143.0,153.8,162.3,165.4,171.5,175.5,173.4,170.0,170.4,173.9,180.9,184.9,189.7,194.5,203.6,197.5,199.1,199.7,201.7,204.3,204.7,205.7,206.2,211.2,208.1,208.9,208.4,211.6,213.8,221.4,224.0,229.5,232.1,232.1,235.2,236.2,235.6,238.7,242.5,242.6,243.7,249.8,258.8,258.8,263.5,265.4,270.3,270.7,273.8,269.9,278.4,276.5,269.7,278.7,290.7,299.8,307.8,294.2,299.4,297.9,295.5,289.8,286.8,284.3,289.1,288.8,289.9,286.3,287.1,289.2,286.1,288.5,300.2,300.9
